61	"The first two disciples selected by Jesus were brothers. Name them in alphabetical order (____ and ____)."	"Andrew and Simon"
62	"Which of the tribes of Israel was prohibited from owning land in Canaan?"	"Levites"
63	"What city is called the City of David?"	"Bethlehem"
64	"Who ate honey out of a lion’s carcass?"	"Samson"
65	"What famous city did Nebuchadnezzar rule?"	" Babylon"
66	"Who was Israel’s first high priest?"	"Aaron"
67	"Who is the only woman whose age is mentioned in the Bible?"	"Sarah"
68	"Which books in the Bible are named after women? (____ and ____, in order of appearance in the Bible)"	"Ruth and Esther"
69	"How many Jews were exiled to Babylon by Nebuchadnezzar?"	4600
70	"When Moses was preparing the Israelites for their coming confrontation with the 7 nations of Canaan, how large an army (number) did he raise?"	603550
71	"When God finally let the Israelites enter the promised land of Canaan, how many nations had to be destroyed?"	7
72	"Who leapt in his mother’s womb when Mary visited?"	"John the Baptist"
73	"After the 5000 ate their fill of the 5 loaves and 2 fishes, how much food was left over?"	"12 baskets"
74	"On the 7th day, how many times did Joshua’s army march around Jericho before the walls fell?"	7
75	"Who did God describe as 'a blameless and upright man'?"	"Job"
76	"Aside from the Serpent, what other animal in the Old Testament spoke to humans?"	"Donkey"
77	"Whose flock was Moses tending when he encountered the burning bush?"	"Jethro"
78	"Who said, 'Silver and gold have I none; but such as I have I give thee'?"	"Peter"
79	"How long was Jonah in the belly of the great fish?"	"3 days and 3 nights"
80	"How many days did Joshua’s troops march around Jerico before the walls fell?"	7
81	"Where is King David buried?"	"City of David"
82	"At the transfiguration who appeared and talked to Christ? (____ and ____, in their respective order in the Bible)"	"Moses and Elijah"
83	"How many Beatitudes are there?"	8
84	"How old (in years) was Noah when the flood was upon the earth?"	600
85	"Which of Joseph’s (coat of many colors) 11 brothers said to his brothers not to kill Joseph but to cast him in a pit instead?"	"Reuben"
86	"Paul said he would visit the Romans on this journey to which country?"	"Spain"
87	"How old (years) was Adam when he died?"	"130"
88	"How many times was Peter told to forgive his brother who had sinned against him?"	"Seventy times seven times"
89	"After his epiphany on the road to Damascus, how many days was Saul without sight?"	3
90	"Where is Moses buried?"	"Valley of Moab"
91	"About how long was Christ on the cross before he said “My God, my God, why hast thou forsaken me?”"	"9 hours"
92	"How old was Moses when he died?"	"120"
93	"According to Paul in Romans, how many righteous people are there? (number)"	0
94	"Adam and Eve had 3 sons. Cain was the firstborn followed by Abel. Who was the third son?"	"Seth"
95	"To whom did Jesus say, 'Man shall not live by bread alone.'?"	"Satan"
96	"How many loaves and fishes did Jesus use to feed the multitude of 5000? (__ loaves and ___ fishes)"	"5 loaves and 2 fishes"
97	"What is the name of the city founded by Cain?"	"Enoch"
98	"How many days had Lazarus been dead before being risen by Jesus?"	4
99	"How many devils were cast out of Mary Magdalene?"	"7"
100	"What did John the Baptist eat while preaching in the Judean wilderness?"	"Locusts and wild honey"
101	"Name the mountain from which Moses viewed Canaan and on which he died."	"Nebo"
102	"For refusing to worship a false god, Shadrach, Meshach, and Abednego were cast into a fiery furnace by King Nebuchadnezzar. How many times hotter than normal did the king order the furnace fire to be?"	7
103	"Who is the only Gentile in the Bible to be identified as the Lord’s anointed?"	"Cyrus"
104	"What is the shortest verse in the Bible?"	"Jesus wept"
105	"In Genesis two men are identified as having walked with God. Who are they? (____ and ____, alphabetical order)"	"Enoch and Noah"
106	"Jacob and Esau were twin brothers. Name their father and mother respectively. (____ and _____)"	"Isaac and Rebecca"
107	"Who negotiated with God to not destroy Sodom if but 10 righteous people could be found there?"	"Abraham"
108	"What was the 1st plague God inflicted on Egypt?"	"River waters turned to blood"
109	"What was the 2nd plague God inflicted on Egypt?"	"Frogs"
110	"What was the 3rd plague God inflicted on Egypt?"	"Lice"
111	"What was the 4th plague God inflicted on Egypt?"	"Flies"
112	"What was the 5th plague God inflicted on Egypt?"	"Death of animals"
113	"What was the 6th plague God inflicted on Egypt?"	"Boils"
114	"What was the 7th plague God inflicted on Egypt?"	"Hail"
115	"What was the 8th plague God inflicted on Egypt?"	"Locusts"
116	"What was the 9th plague God inflicted on Egypt?"	"Darkness"
117	"What was the 10th plague God inflicted on Egypt?"	"Death of first-born son"
118	"How many plagues did God inflict on Egypt?"	10
119	"How many books are in the New Testament?"	27
120	"Which city was Jesus entering when Zacchaeus climbed a sycamore tree to see him?"	"Jericho"
121	"What is the longest chapter in the Bible?"	"Psalm 119"
122	"Where did Cain go when he left Eden?"	"Nod"
123	"Who replaced Judas as the twelfth apostle?"	"Matthias"
124	"What is the most common name in the Bible?"	"Zechariah"
125	"Of what were the 12 gates of New Jerusalem made?"	"Pearls"
126	"Name Jezebel’s husband."	"Ahab"
127	"Which timber was used to construct the Ark of Noah"	"Gopher"
128	"Name Moses’ brother"	"Aaron"
129	"What was the age of Moses (years) at the time of his demise?"	"120"
130	"In the Bible, God is said to have physically written thrice – each time on a different surface. On what did his writing appear at the third instance?"	"Wall"
131	"Balaam was spoken to by which animal?"	"Donkey"
132	"What prophet issued ominous warning against people who took advantage of widows and the fatherless?"	"Malachi"
133	"Who did Mordecai refuse to bow down to?"	"Haman"
134	"How old in years was Moses when he died?"	"120"
135	"How long was Daniel in the den of the lions?"	"1 night"
136	"What animal is mentioned most frequently in both the New and Old Testaments?"	"Sheep"
137	"How much time did Jonah spend in the belly of the whale?"	"3 days and 3 nights"
138	"What biblical Babylonian king cast Daniel into the lion’s den for praying to God in defiance of a royal decree?"	"Darius the Mede"
139	"According to the Bible, what weapons was the Philistine giant, Goliath carrying when he was slain by David? (_____ and _____)"	"Sword and spear"
140	"What is the longest name in the Bible? (no need to type in the dashes)"	"Maher-shalal-bash-baz"
141	"Who came to Zechariah to tell him that his wife would soon be having a baby?"	"Angel Gabriel"
142	"According to the Bible, how many pearly gates are there?"	"12"
143	"In the Bible, which of the 4 horsemen of the Apocalypse rides a red horse?"	"War"
144	"What is the colour of the horse which the 'War' horseman of the Apocalypse rides?"	"Red"
145	"In the Bible, which of the 4 horsemen of the Apocalypse rides a pale/ashen horse?"	"Death"
146	"Who tells the disciples that Jesus had risen from the dead?"	"Mary Magdalene"
147	"How many times did Peter deny Jesus?"	3
148	"Who fled from Iconium when they heard of a plot to stone them? (___ and ____, alphabetical order)"	"Barnabas and Paul"
149	"Who was the first king of Israel?"	"Saul"
150	"What kind of tree did Zacchaeus climb to see Jesus enter Jericho?"	"Sycamore"
151	"Who was able to decipher Nebuchadnezzar’s dreams?"	"Daniel"
152	"Who was Joseph’s master in Egypt as stated in Genesis 37:36?"	"Potiphar"
153	"Name the disciple who was a tax collector."	"Matthew"
154	"What king of Judah was stricken with leprosy?"	"Uzziah"
155	"What king of Israel had a reputation as a fast and furious chariot driver?"	"Jehu"
156	"What occurred when Jonathan and his armor-bearer attacked the Philistines?"	"Earthquake"
157	"Who built the first altar?"	"Noah"
158	"How many shekels did Abraham pay to buy the field of Machpelah?"	400
159	"After he fled for his life, which tree did Elijah sleep under?"	"Juniper"
160	"Judas betrayed Jesus for exactly how many coins of silver?"	30
161	"Name David’s father"	"Jesse"
162	"God is not mentioned in only 1 book of the Bible. Which one?"	"Esther"
163	"For how many pieces of silver was Joseph sold by his brothers to the Ishmeelites?"	20
164	"How many apostles did Jesus choose?"	"12"
165	"The angel said to Mary that Jesus would 'reign over the house' of which Old Testament character?"	"Jacob"
166	"Which prophet said, 'Out of Egypt have I called my son'?"	"Hosea"
167	"What type of tree did Jesus curse?"	"Fig"
168	"Who did Saul request a medium bring up for him?"	"Samuel"
169	"Which Psalm is the verse “He makes me lie down in green pastures, he leads me beside quiet waters,” from?"	"23"
170	"The fear of the Lord is the beginning of...?"	"Wisdom"
171	"What city did the Lord tell Jonah to preach against?"	"Nineveh"
172	"Which of these books (Philippians, Colossians, Galatians or Ephesians) come first in the Bible?"	"Galatians "
173	"How many chapters does the book Hebrews have?"	"13"
174	"What is the name of the storm winds which can hit Crete?"	"Euroklydon"
175	"How many baskets were left over from the feeding of the 5000?"	"7"
176	"Which disciple found a coin in the mouth of a fish?"	"Peter"
177	"What did Peter find in a fish's mouth?"	"Coin"
178	"In which book of the bible to we read about Haman?"	"Esther"
179	"Name the only female judge mentioned in the Bible"	"Deborah"
180	"Name the wife of King Agrippa, which Paul stood before on trial?"	"Bernince"
181	"How old did Enoch become?"	"365"
182	"Who was the oldest person recorded in the Bible?"	"Methuselah"
183	"How old was the oldest person recorded in the Bible?"	"969"
184	"What does Jahwe-Schammah mean?"	"God himself"
185	"How many more years did God add to King Hezekiah's life in response to the dying king's prayer?"	"15"
186	"What prophetess of the Lord did King Josiah of Judah consult?"	"Huldah"
187	"What ceremony did King Josiah reinstate that had not been celebrated by any of the previous kings of Israel or Judah?"	"Passover"
188	"Upon the return of the ark to Israel, what sacrifice did Samuel offer to the Lord?"	"Suckling lamb"
189	"Name Samuel's firstborn son"	"Joel"
190	"Of what tribe of Israel was King Saul"	"Benjamin"
191	"What was the name of king Saul's wife?"	"Ahinoam"
192	"What is required for anyone to understand God's Word?"	"Holy Spirit"
193	"Who did Paul say judged him?"	"God"
194	"___ deferred makes the heart sick?"	"Hope"
195	"On the Day of Pentecost there came a sound from Heaven of a rushing mighty _____?"	"Wind"
196	"Who offered to pay money for the power to give the Holy Spirit?"	"Simon"
197	"When Jesus turned water into wine, he converted water that was in stone jars. What we’re these stone jars normally used for?"	"Ceremonial washing"
198	"How many books in the Bible have the name “John” in the title?"	"4"
199	"Which book in the Bible has the shortest title?"	"Job"
200	"What were the names of the three sons of Noah in the order the Bible lists them in?"	"Shem, Ham and Japheth"
201	"Who was Nimrod’s father?"	"Cush "
202	"What were the names of Abraham’s two sons (in order of birth)?"	"Ishmael and Isaac"
203	"The Lord changed Abraham’s name to Abraham when he was ninety-nine years old, what was his name before that?"	"Abram"
204	"How old was Abraham when Isaac was born?"	"100"
